total_nodes_manhattan,solution_length_manhattan,total_nodes_misplaced,solution_length_misplaced,total_nodes_h_max,solution_length_h_max,solution_lengths_identical,shared_states_manhattan_misplaced,unique_to_manhattan,unique_to_misplaced,avg_order_diff_manhattan_misplaced,max_order_diff_manhattan_misplaced,shared_states_manhattan_h_max,unique_to_h_max,avg_order_diff_manhattan_h_max,max_order_diff_manhattan_h_max,shared_states_misplaced_h_max,avg_order_diff_misplaced_h_max,max_order_diff_misplaced_h_max,size,num_moves
12,5,12,5,17,5,True,12,0,0,0.0,0.0,12,5,0.06107954545454546,0.17045454545454547,12,0.06107954545454546,0.17045454545454547,4,5
14,5,14,5,19,5,True,14,0,0,0.0,0.0,14,5,0.04456654456654457,0.12820512820512825,14,0.04456654456654457,0.12820512820512825,4,5
10,3,10,3,10,3,True,10,0,0,0.0,0.0,10,0,0.0,0.0,10,0.0,0.0,4,5
13,5,13,5,18,5,True,13,0,0,0.0,0.0,13,5,0.03619909502262443,0.0980392156862745,13,0.03619909502262443,0.0980392156862745,4,5
14,5,14,5,20,5,True,14,0,0,0.0,0.0,14,6,0.039039907460960074,0.09716599190283404,14,0.039039907460960074,0.09716599190283404,4,5
9,3,9,3,9,3,True,9,0,0,0.0,0.0,9,0,0.0,0.0,9,0.0,0.0,4,5
14,5,14,5,21,5,True,14,0,0,0.0,0.0,14,7,0.046703296703296704,0.10769230769230775,14,0.046703296703296704,0.10769230769230775,4,5
10,3,10,3,10,3,True,10,0,0,0.0,0.0,10,0,0.0,0.0,10,0.0,0.0,4,5
11,5,11,5,20,5,True,11,0,0,0.0,0.0,11,9,0.08755980861244018,0.18947368421052635,11,0.08755980861244018,0.18947368421052635,4,5
10,3,10,3,10,3,True,10,0,0,0.0,0.0,10,0,0.0,0.0,10,0.0,0.0,4,5
11,5,11,5,20,5,True,11,0,0,0.0,0.0,11,9,0.11626794258373206,0.2368421052631579,11,0.11626794258373206,0.2368421052631579,4,5
14,5,14,5,24,5,True,14,0,0,0.0,0.0,14,10,0.09746774964166269,0.2006688963210702,14,0.09746774964166269,0.2006688963210702,4,5
11,5,11,5,20,5,True,11,0,0,0.0,0.0,11,9,0.07894736842105264,0.2368421052631579,11,0.07894736842105264,0.2368421052631579,4,5
7,3,7,3,7,3,True,7,0,0,0.0,0.0,7,0,0.0,0.0,7,0.0,0.0,4,5
15,5,15,5,21,5,True,15,0,0,0.0,0.0,15,6,0.04857142857142857,0.12857142857142856,15,0.04857142857142857,0.12857142857142856,4,5
13,5,13,5,20,5,True,13,0,0,0.0,0.0,13,7,0.04520917678812417,0.10964912280701761,13,0.04520917678812417,0.10964912280701761,4,5
10,3,10,3,10,3,True,10,0,0,0.0,0.0,10,0,0.0,0.0,10,0.0,0.0,4,5
9,3,9,3,9,3,True,9,0,0,0.0,0.0,9,0,0.0,0.0,9,0.0,0.0,4,5
12,5,19,5,19,5,True,12,0,0,0.043350168350168354,0.14141414141414144,12,0,0.07281144781144781,0.14141414141414144,19,0.05847953216374271,0.16666666666666674,4,5
10,3,10,3,10,3,True,10,0,0,0.0,0.0,10,0,0.0,0.0,10,0.0,0.0,4,5
10,3,10,3,10,3,True,10,0,0,0.0,0.0,10,0,0.0,0.0,10,0.0,0.0,4,5
16,5,16,5,26,5,True,16,0,0,0.0,0.0,16,10,0.07083333333333333,0.18666666666666665,16,0.07083333333333333,0.18666666666666665,4,5
15,5,18,5,21,5,True,15,0,0,0.042296918767507,0.19327731092436973,15,3,0.06142857142857142,0.17142857142857143,18,0.08366013071895426,0.36470588235294116,4,5
9,3,9,3,9,3,True,9,0,0,0.0,0.0,9,0,0.0,0.0,9,0.0,0.0,4,5
12,5,12,5,21,5,True,12,0,0,0.0,0.0,12,9,0.08068181818181819,0.1636363636363637,12,0.08068181818181819,0.1636363636363637,4,5
13,5,13,5,20,5,True,13,0,0,0.0,0.0,13,7,0.09109311740890688,0.19298245614035087,13,0.09109311740890688,0.19298245614035087,4,5
