"serial","f","h","g","BF","father_serial","h0","H_min","last_H_min_update","f_max","node_max"
"1","6","6","0","4","0","6","6","0","6","13"
"2","7","6","1","4","1","6","6","1","7","13"
"3","7","5","2","3","2","6","5","0","7","13"
"4","7","6","1","4","1","6","5","1","7","13"
"5","7","5","2","3","4","6","5","2","7","13"
"6","7","6","1","4","1","6","5","3","7","13"
"7","6","4","2","3","6","6","4","0","7","13"
"8","7","4","3","3","7","6","4","1","7","13"
"9","7","3","4","2","8","6","3","0","7","13"
"10","7","4","3","3","7","6","3","1","7","13"
"11","6","2","4","2","10","6","2","0","7","13"
"12","6","1","5","2","11","6","1","0","7","13"
"13","6","0","6","1","12","6","0","0","7","13"
