"level_1#","level_1_F","level_1_H","level_1_G","level_1_BF","level_2#","level_2_F","level_2_H","level_2_G","level_2_BF","level_3#","level_3_F","level_3_H","level_3_G","level_3_BF","level_4#","level_4_F","level_4_H","level_4_G","level_4_BF","level_5#","level_5_F","level_5_H","level_5_G","level_5_BF","level_6#","level_6_F","level_6_H","level_6_G","level_6_BF","level_7#","level_7_F","level_7_H","level_7_G","level_7_BF","level_8#","level_8_F","level_8_H","level_8_G","level_8_BF","level_9#","level_9_F","level_9_H","level_9_G","level_9_BF","level_10#","level_10_F","level_10_H","level_10_G","level_10_BF","H0","H_min","last_H_min_update","f_max","node_max"
"1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","17.0","0","85.0","135"
"2","86.0","17.0","1","2","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","17.0","1","86.0","135"
"3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","17.0","2","86.0","135"
"4","87.0","17.0","2","1","2","86.0","17.0","1","2","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","17.0","3","87.0","135"
"5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","17.0","4","87.0","135"
"6","87.0","17.0","2","2","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","17.0","5","87.0","135"
"7","88.0","17.0","3","3","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","17.0","6","88.0","135"
"8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","17.0","7","88.0","135"
"9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","16.0","0","88.0","135"
"10","80.0","15.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","15.0","0","88.0","135"
"11","81.0","15.0","6","3","10","80.0","15.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","15.0","1","88.0","135"
"12","82.0","15.0","7","3","11","81.0","15.0","6","3","10","80.0","15.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","17.0","15.0","2","88.0","135"
"13","83.0","15.0","8","2","12","82.0","15.0","7","3","11","81.0","15.0","6","3","10","80.0","15.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","17.0","15.0","3","88.0","135"
"14","83.0","15.0","8","2","12","82.0","15.0","7","3","11","81.0","15.0","6","3","10","80.0","15.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","17.0","15.0","4","88.0","135"
"15","84.0","15.0","9","3","13","83.0","15.0","8","2","12","82.0","15.0","7","3","11","81.0","15.0","6","3","10","80.0","15.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","17.0","15.0","5","88.0","135"
"16","85.0","16.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","15.0","6","88.0","135"
"17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","15.0","7","88.0","135"
"18","86.0","16.0","6","3","10","80.0","15.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","15.0","8","88.0","135"
"19","86.0","16.0","6","3","10","80.0","15.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","15.0","9","88.0","135"
"20","86.0","16.0","6","3","16","85.0","16.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","15.0","10","88.0","135"
"21","86.0","16.0","6","3","16","85.0","16.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","15.0","11","88.0","135"
"22","82.0","15.0","7","3","21","86.0","16.0","6","3","16","85.0","16.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","17.0","15.0","12","88.0","135"
"23","86.0","16.0","6","3","16","85.0","16.0","5","4","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","15.0","13","88.0","135"
"24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0","15.0","14","88.0","135"
"25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","0","0","0","0","0","17.0","15.0","15","88.0","135"
"26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","0","0","0","0","0","17.0","15.0","16","88.0","135"
"27","84.0","15.0","9","4","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","17.0","15.0","17","88.0","135"
"28","84.0","15.0","9","5","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","17.0","15.0","18","88.0","135"
"29","85.0","15.0","10","3","27","84.0","15.0","9","4","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","17.0","15.0","19","88.0","135"
