"serial","f","h","g","BF","father_serial","h0","H_min","last_H_min_update","f_max","node_max"
"1","4.0","4.0","0","10","0","4.0","4.0","0","4.0","2054"
"2","4.0","4.0","1","10","1","4.0","4.0","1","4.0","2054"
"3","4.0","4.0","1","10","1","4.0","4.0","2","4.0","2054"
"4","4.0","4.0","1","10","1","4.0","4.0","3","4.0","2054"
"5","4.0","4.0","1","10","1","4.0","4.0","4","4.0","2054"
"6","4.0","4.0","1","10","1","4.0","4.0","5","4.0","2054"
"7","4.0","4.0","1","10","1","4.0","4.0","6","4.0","2054"
"8","4.0","4.0","1","10","1","4.0","4.0","7","4.0","2054"
"9","4.0","4.0","1","10","1","4.0","4.0","8","4.0","2054"
"10","4.0","4.0","1","10","1","4.0","4.0","9","4.0","2054"
"11","4.0","4.0","2","10","2","4.0","4.0","10","4.0","2054"
"12","3.0","3.0","3","10","11","4.0","3.0","0","4.0","2054"
"13","3.0","3.0","4","10","12","4.0","3.0","1","4.0","2054"
"14","3.0","3.0","4","10","12","4.0","3.0","2","4.0","2054"
"15","3.0","3.0","4","10","12","4.0","3.0","3","4.0","2054"
"16","3.0","3.0","5","10","13","4.0","3.0","4","4.0","2054"
"17","3.0","3.0","5","10","13","4.0","3.0","5","4.0","2054"
"18","3.0","3.0","5","10","13","4.0","3.0","6","4.0","2054"
"19","3.0","3.0","5","10","13","4.0","3.0","7","4.0","2054"
"20","3.0","3.0","5","10","13","4.0","3.0","8","4.0","2054"
"21","3.0","3.0","5","10","13","4.0","3.0","9","4.0","2054"
"22","3.0","3.0","5","10","14","4.0","3.0","10","4.0","2054"
"23","3.0","3.0","5","10","14","4.0","3.0","11","4.0","2054"
"24","3.0","3.0","5","10","14","4.0","3.0","12","4.0","2054"
"25","3.0","3.0","5","10","14","4.0","3.0","13","4.0","2054"
"26","3.0","3.0","5","10","14","4.0","3.0","14","4.0","2054"
"27","3.0","3.0","5","10","15","4.0","3.0","15","4.0","2054"
"28","3.0","3.0","5","10","15","4.0","3.0","16","4.0","2054"
"29","3.0","3.0","5","10","15","4.0","3.0","17","4.0","2054"
"30","3.0","3.0","5","10","15","4.0","3.0","18","4.0","2054"
"31","3.0","3.0","6","10","16","4.0","3.0","19","4.0","2054"
"32","3.0","3.0","6","10","16","4.0","3.0","20","4.0","2054"
"33","3.0","3.0","6","10","16","4.0","3.0","21","4.0","2054"
"34","3.0","3.0","6","10","16","4.0","3.0","22","4.0","2054"
"35","3.0","3.0","6","10","17","4.0","3.0","23","4.0","2054"
"36","3.0","3.0","6","10","17","4.0","3.0","24","4.0","2054"
"37","3.0","3.0","6","10","17","4.0","3.0","25","4.0","2054"
"38","3.0","3.0","6","10","17","4.0","3.0","26","4.0","2054"
"39","3.0","3.0","6","10","17","4.0","3.0","27","4.0","2054"
"40","3.0","3.0","6","10","18","4.0","3.0","28","4.0","2054"
"41","3.0","3.0","6","10","18","4.0","3.0","29","4.0","2054"
