total_nodes_misplaced,solution_length_misplaced,total_nodes_height_diff,solution_length_height_diff,total_nodes_h_max,solution_length_h_max,solution_lengths_identical,shared_states_misplaced_height_diff,unique_to_misplaced,unique_to_height_diff,avg_order_diff_misplaced_height_diff,max_order_diff_misplaced_height_diff,shared_states_misplaced_h_max,unique_to_h_max,avg_order_diff_misplaced_h_max,max_order_diff_misplaced_h_max,shared_states_height_diff_h_max,avg_order_diff_height_diff_h_max,max_order_diff_height_diff_h_max,num_blocks,num_stacks,num_moves
13,4,51,4,35,4,True,13,0,16,0.24461538461538462,0.42666666666666664,13,0,0.13122171945701358,0.31372549019607837,35,0.15085714285714286,0.2823529411764706,5,3,5
7,2,11,2,15,2,True,7,0,0,0.19999999999999998,0.4,7,4,0.2040816326530612,0.38095238095238093,11,0.06493506493506494,0.1428571428571429,5,3,5
11,3,31,3,11,3,True,11,0,20,0.16363636363636366,0.2666666666666667,11,0,0.0,0.0,11,0.16363636363636366,0.2666666666666667,5,3,5
5,1,5,1,5,1,True,5,0,0,0.0,0.0,5,0,0.0,0.0,5,0.0,0.0,5,3,5
9,3,21,3,11,3,True,9,0,10,0.2111111111111111,0.4,9,0,0.1,0.19999999999999996,11,0.19545454545454544,0.6,5,3,5
17,3,23,3,33,3,True,17,4,8,0.08288770053475936,0.26136363636363635,13,18,0.21153846153846154,0.5625,15,0.17859848484848484,0.5965909090909091,5,3,5
11,3,37,3,27,3,True,11,0,10,0.1388888888888889,0.2888888888888889,11,0,0.10909090909090909,0.24615384615384617,27,0.17149414371636595,0.43589743589743596,5,3,5
13,3,31,3,31,3,True,13,0,11,0.24871794871794872,0.5,13,11,0.21538461538461537,0.5,20,0.05500000000000001,0.2666666666666667,5,3,5
13,4,105,4,79,4,True,13,0,34,0.2943786982248521,0.5897435897435896,13,8,0.23570019723865876,0.4871794871794871,71,0.10062296858071505,0.423076923076923,5,3,5
9,2,11,2,13,2,True,9,0,2,0.1,0.19999999999999996,9,4,0.07407407407407408,0.16666666666666669,9,0.11851851851851852,0.25,5,3,5
11,3,19,3,31,3,True,11,0,0,0.10101010101010101,0.2222222222222222,11,12,0.1393939393939394,0.2666666666666667,19,0.11578947368421051,0.4444444444444445,5,3,5
13,3,29,3,25,3,True,13,0,8,0.15384615384615385,0.2857142857142857,13,4,0.1346153846153846,0.3333333333333333,21,0.21598639455782312,0.38095238095238093,5,3,5
9,3,21,3,19,3,True,9,0,4,0.14444444444444446,0.30000000000000004,9,2,0.08333333333333333,0.16666666666666669,17,0.10980392156862744,0.19999999999999996,5,3,5
13,3,15,3,25,3,True,13,2,4,0.0915750915750916,0.4047619047619048,11,14,0.07954545454545456,0.16666666666666666,11,0.09145021645021645,0.2142857142857143,5,3,5
25,4,91,4,72,4,True,25,0,24,0.25355555555555553,0.7222222222222223,25,5,0.23633802816901409,0.49530516431924887,67,0.13199495480344756,0.43395931142410016,5,3,5
25,4,116,4,70,4,True,25,0,50,0.22617391304347825,0.558695652173913,25,4,0.18492753623188407,0.6123188405797101,66,0.15423803249890206,0.5333333333333332,5,3,5
9,2,17,2,13,2,True,9,0,4,0.19444444444444445,0.375,9,0,0.16666666666666666,0.33333333333333337,13,0.057692307692307696,0.125,5,3,5
23,4,61,4,63,4,True,23,0,6,0.13353096179183135,0.503030303030303,23,8,0.1767180925666199,0.3519061583577712,55,0.14791788856304985,0.4516129032258065,5,3,5
9,2,17,2,13,2,True,9,0,4,0.19444444444444445,0.375,9,0,0.16666666666666666,0.33333333333333337,13,0.057692307692307696,0.125,5,3,5
11,3,37,3,35,3,True,11,0,4,0.15909090909090912,0.2888888888888889,11,2,0.13048128342245988,0.2823529411764706,33,0.18657159833630424,0.49019607843137253,5,3,5
33,4,116,4,100,4,True,33,0,38,0.27312252964426875,0.6559782608695652,33,22,0.24165901438628712,0.595959595959596,78,0.10087271826402262,0.38700043917435223,5,3,5
11,3,45,3,25,3,True,11,0,20,0.22107438016528924,0.40909090909090906,11,0,0.08712121212121214,0.23333333333333336,25,0.22515151515151516,0.4772727272727273,5,3,5
29,4,108,4,84,4,True,29,0,30,0.27118917176925555,0.6361815754339119,29,6,0.25820523473203155,0.6161790017211703,78,0.21980806042285606,0.5347370791577525,5,3,5
31,4,132,4,72,4,True,31,0,60,0.27714848559468114,0.5653944020356234,31,0,0.14519157958503712,0.415962441314554,72,0.17226642296527253,0.508117406730459,5,3,5
15,3,37,3,27,3,True,15,0,14,0.23148148148148148,0.4365079365079365,15,4,0.0695970695970696,0.19780219780219777,23,0.19518766257896694,0.4145299145299145,5,3,5
7,2,11,2,11,2,True,7,0,0,0.19999999999999998,0.4,7,0,0.19999999999999998,0.4,11,0.0,0.0,5,3,5
7,1,7,1,7,1,True,7,0,0,0.0,0.0,7,0,0.0,0.0,7,0.0,0.0,5,3,5
36,4,75,4,74,4,True,36,4,23,0.19707207207207206,0.5401544401544401,32,22,0.25133317025440316,0.5033268101761252,52,0.10982399681029818,0.32117734172528695,5,3,5
21,4,93,4,58,4,True,21,0,41,0.27432712215320915,0.5913043478260869,21,6,0.28613199665831246,0.5842105263157895,52,0.19732441471571904,0.5469107551487414,5,3,5
31,5,182,5,168,5,True,31,0,45,0.23199073248975227,0.6563535911602211,31,31,0.25461979267271906,0.6682634730538922,137,0.114224509001113,0.4147285539418401,5,3,5
19,4,88,4,100,4,True,19,0,14,0.30943738656987296,0.5708812260536399,19,26,0.2942583732057416,0.5454545454545454,74,0.11016973085938604,0.4994775339602926,5,3,5
23,3,51,3,36,3,True,23,0,16,0.19573122529644268,0.5381818181818182,23,1,0.17859966120835688,0.47532467532467537,35,0.17134693877551022,0.6,5,3,5
24,3,24,3,34,3,True,24,2,2,0.0,0.0,22,12,0.15666546891843336,0.3241106719367589,22,0.15666546891843336,0.3241106719367589,5,3,5
